iter,delta_E_meV_per_atom
11665,-2.1313889152
11692,-2.1322256974
11720,-2.1262999435
11745,-2.1236228442
11746,-2.1254764983
11924,-2.1120336734
11946,-2.0989373627
11947,-2.1171848396
11970,-2.1027772292
12032,-2.1000421652
12052,-2.0977477688
12062,-2.0950349224
12108,-2.0987700469
12114,-2.0952727603
12209,-2.1099606630
12221,-2.1017908549
12251,-2.1053402100
12310,-2.0959023182
12322,-2.1105388466
12384,-2.1136850707
12397,-2.0954239749
12419,-2.1083263056
12454,-2.1023057230
12593,-2.0956679764
12625,-2.0821243882
12640,-2.0930415140
12651,-2.0843532101
12781,-2.0639871879
12950,-2.0750272029
13011,-2.0823158008
13075,-2.0816817894
13076,-2.0820381759
13080,-2.0922539564
13112,-2.0944410371
13185,-2.0824587639
13197,-2.0945341006
13281,-2.1059120315
13324,-2.0966329771
13340,-2.0877379257
13341,-2.0722769792
13343,-2.0613458599
13344,-2.0555463921
13353,-2.0705163963
13390,-2.0819799527
13412,-2.0954678064
13429,-2.0981879404
13458,-2.1082260457
13464,-2.1156789978
13563,-2.1159458650
13580,-2.1077915949
13639,-2.0960365128
13671,-2.1033402897
13694,-2.1103564749
13699,-2.1267617848
13732,-2.1203777601
13734,-2.1265331804
13788,-2.1348866710
13804,-2.1385531252
13817,-2.1673075923
13868,-2.1570442255
13883,-2.1580548584
13895,-2.1927187975
13934,-2.1771239808
13983,-2.1807034532
14030,-2.1756829430
14039,-2.1911863054
14126,-2.1899484406
14254,-2.1988234620
14276,-2.1943872793
14305,-2.1839208791
14311,-2.1969391248
14312,-2.1996067177
14332,-2.1920759541
14352,-2.1969187366
14406,-2.2011880842
14490,-2.2147860439
14504,-2.2117743127
14625,-2.2148360084
14640,-2.2171304288
14695,-2.2420190020
14698,-2.2557883070
14710,-2.2607444667
14745,-2.2707377445
14796,-2.2648088701
14820,-2.2350394512
14840,-2.2568867367
14902,-2.2576426553
14910,-2.2742040972
14936,-2.2653428894
14950,-2.2688456213
14969,-2.2694264686
14989,-2.2687518123
15025,-2.2820717349
15039,-2.2819931550
15168,-2.2905837416
15225,-2.3020525333
15236,-2.3164456977
15284,-2.3071614315
15358,-2.3053504297
15363,-2.3084782986
15400,-2.2953982410
15524,-2.2924984888
15525,-2.2939863791
15528,-2.2927310427
15635,-2.3151260051
15726,-2.3082572228
15817,-2.3069176672
15849,-2.3047025458
15870,-2.3071639889
15930,-2.3008812939
15994,-2.3013202649
15996,-2.3043745100
15997,-2.3149425289
16033,-2.3105290494
16045,-2.2964201718
16181,-2.2995702472
16199,-2.3213026383
16266,-2.3309608912
16275,-2.3425141570
16315,-2.3636159955
16402,-2.3610849551
16511,-2.3791573263
16529,-2.3860916376
16537,-2.4046493639
16713,-2.4208560546
16759,-2.4276333354
16766,-2.4172712355
16769,-2.4330797099
16822,-2.4377941993
16844,-2.4261257824
16848,-2.4278344458
16933,-2.4265599498
16952,-2.4455726129
17048,-2.4679147710
17060,-2.4767865209
17115,-2.4827059933
17252,-2.4521874667
17255,-2.4780967658
17256,-2.4803124187
17259,-2.5111068930
17507,-2.5085863376
17514,-2.5080886256
17536,-2.5093092145
17597,-2.4993951337
17630,-2.5049862990
17665,-2.5032902860
17897,-2.5127448511
17930,-2.5211365001
17956,-2.5144956657
17972,-2.5073038627
18019,-2.5024384860
18048,-2.5092459188
18056,-2.5084988164
18144,-2.5109779851
18164,-2.5144106046
18233,-2.5274639821
18288,-2.5103940738
18321,-2.4929931168
18366,-2.4935261145
18388,-2.4944526308
18389,-2.4937768458
18402,-2.4898878488
18406,-2.4878416735
18411,-2.4942108148
18510,-2.4991518484
18526,-2.4925800753
18529,-2.4863919831
18553,-2.5079191928
18566,-2.5095737185
18603,-2.5266290466
18694,-2.5241279410
18695,-2.5261736762
18712,-2.5263248518
18772,-2.5308453264
18812,-2.5269353513
18829,-2.5642939692
19071,-2.5578432002
19115,-2.5681302281
19177,-2.5671431951
19231,-2.5662617008
19271,-2.5695462686
19324,-2.5564152595
19366,-2.5582661395
19386,-2.5561551682
19424,-2.5505475085
19457,-2.5638522920
19465,-2.5628658765
19517,-2.5685190790
19555,-2.5702695950
19574,-2.5905892567
19594,-2.5912869258
19603,-2.6017991770
19617,-2.5997023685
19692,-2.5986804982
19732,-2.6082414450
19817,-2.5920593204
19848,-2.5873018622
19878,-2.5950987032
19903,-2.5668101876
19911,-2.5647401233
19937,-2.6067718828
19973,-2.6025354157
20053,-2.6105577091
20138,-2.6118754579
20164,-2.6162228070
20190,-2.6212245404
20191,-2.6234825622
20197,-2.6299870411
20223,-2.6154101308
20245,-2.6416589217
20267,-2.6419303510
20346,-2.6500712076
20361,-2.6386181460
20396,-2.6337171925
20474,-2.6252754259
20565,-2.6501676762
20623,-2.6317770981
20705,-2.6312085667
20733,-2.6281376677
20745,-2.6180015495
20809,-2.6203733144
20842,-2.6174421115
20855,-2.6150826210
20867,-2.6097101833
20925,-2.6159053149
20931,-2.6080419153
20956,-2.6118361990
21115,-2.6089412760
21177,-2.6212971140
21186,-2.6234079678
21196,-2.6131223190
21207,-2.6370990025
21212,-2.6276278858
21308,-2.6495726028
21354,-2.6389038878
21405,-2.6473151144
21470,-2.6443669168
21494,-2.6421672982
21532,-2.6447547797
21563,-2.6477230200
21601,-2.6547790977
21670,-2.6717978487
21725,-2.6718927785
21731,-2.6565671946
21743,-2.6586112821
21842,-2.6542694254
21914,-2.6369524174
22041,-2.6418853586
22067,-2.6528745102
22154,-2.6506742795
22186,-2.6594485505
22218,-2.6710676250
22242,-2.6801735630
22310,-2.6869545162
22357,-2.7132084423
22374,-2.7128855375
22399,-2.6926348522
22401,-2.6912878200
22419,-2.6971566970
22428,-2.7023227001
22429,-2.7149171260
22451,-2.7102189984
22464,-2.6919344959
22476,-2.6978117882
22488,-2.7073237081
22491,-2.7108812139
22514,-2.7093719321
22576,-2.7188621117
22626,-2.7191483078
22693,-2.7110362286
22700,-2.6954637522
22858,-2.7094691254
23096,-2.6960893557
23105,-2.7015683103
23115,-2.7054195993
23133,-2.7186340693
23192,-2.7080055268
23251,-2.7001316237
23408,-2.7063084215
23410,-2.6980437887
23447,-2.7250673428
23464,-2.7081665993
23512,-2.7109047489
23558,-2.7084078992
23580,-2.6852474715
23588,-2.7008320402
23599,-2.6930057271
23679,-2.7057088854
23772,-2.7076997342
23782,-2.7145088860
23786,-2.6975904976
23797,-2.6649473757
23809,-2.6629591927
23813,-2.6583531724
23815,-2.6526956572
23878,-2.6580373618
23964,-2.6548171239
23991,-2.6681116456
24052,-2.7044182824
24081,-2.7086732126
24130,-2.7008787498
24240,-2.6728952084
24258,-2.7147575608
24327,-2.7362809276
24334,-2.7477007811
24370,-2.7590352523
24502,-2.7782412455
24520,-2.7562473428
24616,-2.7712796176
24631,-2.7703455289
24664,-2.7779368450
24813,-2.7905034593
24871,-2.7832826906
24911,-2.7962159552
24999,-2.8017782403
25061,-2.8070573467
25080,-2.8300045684
25124,-2.8277988078
25135,-2.8276333640
25225,-2.8253111383
25248,-2.8192209002
25269,-2.8366563823
25275,-2.8469361154
25289,-2.8571493928
25296,-2.8577795544
25310,-2.8656773605
25380,-2.8425253838
25394,-2.8339110060
25431,-2.8201212160
25617,-2.8059426537
25697,-2.8098732041
25701,-2.8292021957
25738,-2.8224684228
25777,-2.8382215249
25817,-2.8190416134
25855,-2.8298800005
25874,-2.8314446549
25941,-2.8303901840
26001,-2.8464455508
26200,-2.8250740086
26273,-2.8232881011
26291,-2.8246066353
26304,-2.8286499504
26415,-2.8236997471
26431,-2.8345903340
26480,-2.8492445143
26545,-2.8497834720
26561,-2.8558700605
26581,-2.8541702073
26584,-2.8510688466
26596,-2.8485424448
26690,-2.8751579968
26750,-2.8757187633
26755,-2.8810735704
26776,-2.8744565344
26788,-2.8776646503
26793,-2.9058475560
26833,-2.8950301737
27091,-2.9078598083
27147,-2.9034775045
27168,-2.9095935678
27232,-2.9117238257
27339,-2.9080539976
27369,-2.8974524463
27385,-2.8937603185
27429,-2.8960392602
27484,-2.9262836755
27522,-2.9195488853
27554,-2.9187250116
27631,-2.9245370271
27653,-2.9411695175
27697,-2.9355447783
27724,-2.9443336292
27733,-2.9465976922
27766,-2.9445529225
27811,-2.9567280046
27845,-2.9901691055
28011,-2.9731137644
28042,-2.9890378111
28092,-2.9571461593
28104,-2.9971818502
28113,-3.0004286708
28131,-3.0064316206
28162,-3.0046758004
28229,-3.0351644375
28232,-3.0305426408
28366,-3.0314391613
28367,-3.0477682305
28383,-3.0439079413
28410,-3.0462297306
28466,-3.0594329461
28766,-3.0628404470
28797,-3.0787093189
28801,-3.0932837387
28838,-3.0947797922
28841,-3.1099318971
28859,-3.1381274578
29020,-3.1293276342
29083,-3.1326311807
29159,-3.1376728107
29177,-3.1447161689
29206,-3.1765043412
29328,-3.1797753961
29376,-3.1740837193
29400,-3.1771157068
29489,-3.1722844513
29491,-3.1805410038
29598,-3.1667035569
29609,-3.1822880399
29764,-3.1909177641
29805,-3.1981469406
29865,-3.1957078677
29901,-3.1811732289
29978,-3.1617035130
30018,-3.1641568926
30043,-3.1569087713
30066,-3.1493119089
30071,-3.1437095371
30083,-3.1577062310
30089,-3.1491716059
30129,-3.1174663964
30152,-3.1123396258
30175,-3.1123547632
30320,-3.1171032300
30394,-3.1136037359
30439,-3.1354245724
30459,-3.1359557436
30633,-3.1356856158
30677,-3.1156456230
30743,-3.1064786256
30779,-3.1036865400
30940,-3.0967013329
30993,-3.0938216055
31005,-3.1276780327
31018,-3.1679601214
31135,-3.1741721728
31372,-3.1774833971
31568,-3.1382892584
31673,-3.1385380561
31727,-3.1339509537
31950,-3.1424964708
31974,-3.1488202620
32173,-3.1417882097
32180,-3.1475660536
32235,-3.1687073495
32281,-3.1819378333
32302,-3.1887011134
32329,-3.1840813153
32404,-3.1786803130
32493,-3.1696771091
32598,-3.1722473028
32617,-3.1737301981
32692,-3.1780355653
32698,-3.1683087751
32734,-3.1688205700
32803,-3.1600615082
32953,-3.1608136935
32985,-3.1477063651
33006,-3.1328466948
33013,-3.1426007520
33068,-3.1385135470
33229,-3.1290643411
33356,-3.1456228977
33402,-3.1412394284
33480,-3.1529485170
33516,-3.1726284055
33619,-3.1640478773
33721,-3.1659631145
33782,-3.1539966706
33790,-3.1490367951
33829,-3.1385684154
33877,-3.1695344276
33886,-3.1606420638
33896,-3.1611430125
33970,-3.1710956178
33982,-3.1768846691
34007,-3.1395594018
34021,-3.1380880858
34079,-3.1347175994
34109,-3.1313441858
34116,-3.1541601660
34117,-3.1597107724
34308,-3.1460938988
34345,-3.1393578504
34360,-3.1379566021
34387,-3.1209125407
34504,-3.1284959838
34557,-3.1427850897
35099,-3.1292797888
35195,-3.1385864173
35218,-3.1429710635
35221,-3.1421843765
35227,-3.1307539516
35297,-3.1330169958
35327,-3.1357855511
35329,-3.1464929059
35331,-3.1546033798
35343,-3.1378198415
35473,-3.1375799503
35497,-3.1241785237
35513,-3.1205613218
35515,-3.1123921105
35552,-3.1190219427
35594,-3.1142782740
35675,-3.1095861981
35715,-3.1166883650
35732,-3.1266805942
35751,-3.1207333398
36124,-3.1245366130
36177,-3.1266052719
36179,-3.1348412939
36204,-3.1265874514
36208,-3.1250299334
36232,-3.1238385225
36234,-3.1162062821
36305,-3.1222985809
36486,-3.1366076616
36571,-3.1280377431
36594,-3.1228201028
36647,-3.1135034561
36702,-3.1167519836
36706,-3.1178398255
36745,-3.1135131942
36771,-3.0895662726
36781,-3.0906164965
36808,-3.0937546613
36817,-3.1041927068
36823,-3.0867493338
36847,-3.0999240204
36875,-3.1020282881
36880,-3.1182609194
36891,-3.0964803742
36936,-3.0965521079
36961,-3.1080980499
36978,-3.1056355771
37072,-3.1046734957
37096,-3.1057628841
37192,-3.1356454222
37227,-3.1412588725
37287,-3.1390496722
37368,-3.1410791461
37433,-3.1420658371
37445,-3.1498331973
37490,-3.1511402984
37683,-3.1562983851
37727,-3.1650188721
37731,-3.1609985433
37846,-3.1501923089
37879,-3.1483186746
37946,-3.1569750017
37958,-3.1572287814
37969,-3.1491930260
37981,-3.1505756249
38115,-3.1758433613
38149,-3.1688182341
38165,-3.1689170331
38189,-3.1835276576
38224,-3.1814259928
38272,-3.1937176369
38345,-3.2114715980
38365,-3.2190126648
38399,-3.2228087280
38429,-3.2173284597
38443,-3.2158929144
38475,-3.2013793053
38481,-3.2223472080
38591,-3.2187511469
38607,-3.2154972273
38618,-3.2006726769
38743,-3.1998237280
38762,-3.2032812310
38861,-3.1933122320
39026,-3.2060492573
39110,-3.2358329198
39123,-3.2012644663
39139,-3.1976958915
39140,-3.1917322599
39200,-3.1910247018
39307,-3.1897249854
39371,-3.1882782782
39403,-3.1951107714
39559,-3.2019227096
39564,-3.2132818067
39638,-3.2158460025
39655,-3.2100296361
39691,-3.2142163122
39695,-3.2255300793
39743,-3.2155459843
39794,-3.2133368577
39818,-3.2100240254
39828,-3.2177561829
39879,-3.2148258489
39903,-3.2129908652
39949,-3.2226594904
40049,-3.2036668228
40050,-3.2035569437
40138,-3.2086448057
40214,-3.1913236669
40274,-3.2067591835
40296,-3.1954559229
40303,-3.2055526278
40310,-3.2103300136
40330,-3.2139090494
40492,-3.2217254554
40544,-3.2390728532
40596,-3.2396025177
40616,-3.2464021014
40672,-3.2474979263
40676,-3.2671572338
40697,-3.2523554178
40731,-3.2637737301
40742,-3.2573821320
40761,-3.2445048799
40789,-3.2351768669
40804,-3.2240948534
40959,-3.2315335217
40966,-3.2361803119
40981,-3.2320517680
41083,-3.2452725309
41136,-3.2737427818
41157,-3.2878279416
41165,-3.3018162146
41180,-3.3166948125
41217,-3.3247452394
41221,-3.3337850505
41262,-3.3230096638
41265,-3.3332264998
41267,-3.3280074275
41321,-3.3137243037
41443,-3.3073535808
41499,-3.2946241199
41544,-3.3020582295
41590,-3.3036677427
41633,-3.3014439558
41790,-3.2972563110
41927,-3.3011461020
42047,-3.3249881149
42218,-3.3175387139
42270,-3.2801018632
42287,-3.2921716946
42298,-3.2811784562
42307,-3.2864029656
42481,-3.2967242418
42660,-3.3036791736
42693,-3.2934032225
42700,-3.2830120882
42734,-3.2830298729
42765,-3.2680129112
42773,-3.2736446460
42888,-3.2977199653
42910,-3.2943273517
42915,-3.2945425149
42928,-3.2934879670
42934,-3.3104501552
43048,-3.3092165347
43086,-3.3339121273
43147,-3.3239224067
43221,-3.3125632634
43242,-3.2946640503
43275,-3.3171897076
43301,-3.3011940182
43444,-3.3025982873
43479,-3.3060591644
43496,-3.3107804835
43566,-3.3239633192
43620,-3.3282925324
43624,-3.3349581342
43628,-3.3265129066
43697,-3.3204656213
43701,-3.3048541985
43715,-3.2976141070
43729,-3.3071915407
43779,-3.3202670736
43795,-3.3200537575
43865,-3.3195346831
43866,-3.3154811385
43874,-3.3148511069
43941,-3.2825665706
43965,-3.2785203091
44072,-3.2893295317
44248,-3.2896987173
44308,-3.2863633161
44309,-3.2692815676
44321,-3.2613329493
44392,-3.2565522904
44453,-3.2370799016
44486,-3.2373233314
44506,-3.2375225895
44769,-3.2463426613
44894,-3.2812928041
44942,-3.2808903373
45014,-3.2809604466
45119,-3.3020776302
45125,-3.3070478205
45175,-3.3188283411
45216,-3.3148086912
45227,-3.3226491817
45231,-3.3132544433
45265,-3.3194436404
45296,-3.3363995894
45315,-3.3370268510
45334,-3.3647540001
45563,-3.3947725101
45731,-3.3898762553
45842,-3.3976820181
45891,-3.3971625115
45896,-3.3852655894
45929,-3.3764248323
45961,-3.3873403677
45986,-3.3828489000
46064,-3.3808133174
46132,-3.3763978695
46297,-3.3732481690
46302,-3.3981519921
46383,-3.3954219379
46415,-3.3769206867
46418,-3.3634362104
46464,-3.3546164944
46474,-3.3722802345
46525,-3.3824386919
46618,-3.3941466364
46774,-3.3887013582
46887,-3.3857296725
46980,-3.3499182437
46997,-3.3423599490
47022,-3.3425187340
47056,-3.3446396102
47065,-3.3626364900
47189,-3.3647914417
47294,-3.3809865708
47333,-3.3677880041
47348,-3.3885064662
47385,-3.3890822528
47559,-3.3960085340
47563,-3.3966372672
47635,-3.4113142334
47648,-3.4101914751
47680,-3.4288790717
47721,-3.4141825090
47740,-3.4156304561
47775,-3.4218132712
47931,-3.4014655487
47967,-3.3877074896
47968,-3.3786149406
48051,-3.3644359051
48137,-3.3834707301
48160,-3.3896908077
48175,-3.3977499364
48218,-3.3890622297
48232,-3.3925106177
48278,-3.4020351294
48354,-3.3997821648
48410,-3.4063830618
48463,-3.3953684401
48493,-3.3944083162
48565,-3.3772605806
48581,-3.3752241044
48627,-3.3723660899
48688,-3.3657940226
48723,-3.3624062441
48791,-3.3596643304
48815,-3.3679386825
48853,-3.3618802427
48950,-3.3595100304
48962,-3.3633828264
48966,-3.3714783415
49073,-3.3745765541
49162,-3.3859149855
49175,-3.3963899635
49245,-3.3957870052
49279,-3.3928185507
49329,-3.4102033102
49391,-3.4201079208
49406,-3.4226976558
49418,-3.4475798150
49435,-3.4421923794
49439,-3.4587166156
49586,-3.4555504204
49617,-3.4604692037
49624,-3.4665133188
49703,-3.4827912977
49737,-3.4841294089
49834,-3.4851126082
49889,-3.5059650305
49910,-3.5423986937
49953,-3.5456993648
49964,-3.5459565400
50004,-3.5333017460
50018,-3.5260794094
50057,-3.5249272917
50106,-3.5232618965
50113,-3.5228585523
50176,-3.5187763802
50256,-3.5061241826
50369,-3.4928396290
50394,-3.4952140745
50417,-3.4924552781
50422,-3.4928492697
50429,-3.4990512225
50435,-3.5168071887
50450,-3.5218056431
50472,-3.5214988229
50516,-3.5206358161
50524,-3.5176505157
50561,-3.5289257363
50659,-3.5255556206
50721,-3.5091971169
50884,-3.5123238235
50892,-3.5207455716
50920,-3.5174593136
50946,-3.5504753937
50949,-3.5636487800
50984,-3.5578068000
51012,-3.5726020304
51087,-3.5546515174
51239,-3.5539913490
51265,-3.5720305457
51307,-3.5614772592
51413,-3.5623676014
51432,-3.5646509719
51749,-3.5754537409
51773,-3.5629902295
51911,-3.5667302079
51972,-3.5706436851
52116,-3.5883382035
52148,-3.5927638147
52174,-3.5961704678
52190,-3.6013358343
52216,-3.6050254985
52232,-3.6233642879
52271,-3.6147567733
52298,-3.5784404768
52376,-3.5702132791
52402,-3.5828697620
52477,-3.5930460411
52531,-3.5927271184
52621,-3.6041167437
52672,-3.6245281187
52905,-3.6329669202
52921,-3.6238087334
52986,-3.6388772231
53124,-3.6488777707
53146,-3.6393400150
53160,-3.6479974592
53196,-3.6548686077
53277,-3.6535903667
53322,-3.6620857776
53341,-3.6566527787
53383,-3.6337812404
53424,-3.6426158633
53449,-3.6440529911
53471,-3.6303682294
53498,-3.6225520945
53555,-3.6214178320
53725,-3.6314236459
53784,-3.6253474493
53823,-3.6170394459
53896,-3.6194813913
53908,-3.6093435163
53924,-3.6026934900
53935,-3.6107096061
53951,-3.6083060185
54038,-3.6045816558
