last_energy,proposed_energy
-27913.06181340831,-27912.871532664303
-27912.871532664303,-27912.836124889138
-27912.836124889138,-27912.79567017456
-27912.79567017456,-27912.209901510185
-27912.79567017456,-27912.76501736876
-27912.76501736876,-27912.599101237207
-27912.76501736876,-27912.425736472105
-27912.76501736876,-27912.859828955734
-27912.859828955734,-27912.89235154427
-27912.89235154427,-27912.877496644018
-27912.877496644018,-27912.854877248556
-27912.877496644018,-27912.76513661606
-27912.877496644018,-27912.792480815802
-27912.792480815802,-27912.86354810656
-27912.86354810656,-27912.83851962764
-27912.83851962764,-27912.48355680827
-27912.83851962764,-27912.56494436938
-27912.83851962764,-27912.681073431966
-27912.83851962764,-27912.47925178294
-27912.47925178294,-27912.516655846855
-27912.516655846855,-27912.759259572245
-27912.759259572245,-27912.505872928574
-27912.759259572245,-27912.77708842691
-27912.77708842691,-27912.66087583035
-27912.66087583035,-27912.757566532902
-27912.757566532902,-27912.487141916037
-27912.757566532902,-27912.49150116653
-27912.757566532902,-27912.850083110436
-27912.850083110436,-27912.695818492375
-27912.850083110436,-27912.42544756782
-27912.850083110436,-27912.741230030548
-27912.741230030548,-27912.408990684813
-27912.408990684813,-27912.521271823818
-27912.521271823818,-27912.4954337541
-27912.521271823818,-27912.229171001876
-27912.521271823818,-27911.8917117702
-27912.521271823818,-27912.598318500553
-27912.598318500553,-27912.704551655675
-27912.704551655675,-27912.212647918983
-27912.704551655675,-27912.574571961715
-27912.704551655675,-27912.524057174443
-27912.704551655675,-27912.488467647072
-27912.704551655675,-27912.884463076538
-27912.884463076538,-27912.671905710813
-27912.884463076538,-27912.271515874294
-27912.884463076538,-27912.453973821444
-27912.884463076538,-27912.76640470316
-27912.884463076538,-27912.398779028
-27912.884463076538,-27912.215240275626
-27912.884463076538,-27912.845499007497
-27912.884463076538,-27913.151739330642
-27913.151739330642,-27913.184399935326
-27913.184399935326,-27913.306693453138
-27913.306693453138,-27913.474171153728
-27913.474171153728,-27913.487579079192
-27913.487579079192,-27913.436712971008
-27913.487579079192,-27913.175325587606
-27913.487579079192,-27912.54395102619
-27913.487579079192,-27912.67724281538
-27913.487579079192,-27913.11297154136
-27913.487579079192,-27913.022740132947
-27913.487579079192,-27912.876959602952
-27913.487579079192,-27913.38175615505
-27913.38175615505,-27913.192597366586
-27913.38175615505,-27913.092410905447
-27913.38175615505,-27913.021932772517
-27913.38175615505,-27912.75864493795
-27913.38175615505,-27912.83778842006
-27913.38175615505,-27912.73263871675
-27913.38175615505,-27913.138322379393
-27913.38175615505,-27912.886041869468
-27913.38175615505,-27912.774553730495
-27913.38175615505,-27912.79703602689
-27913.38175615505,-27913.093068923175
-27913.38175615505,-27913.144898249437
-27913.38175615505,-27913.15075052154
-27913.15075052154,-27913.077522549287
-27913.077522549287,-27912.892400438104
-27913.077522549287,-27912.99692920155
-27912.99692920155,-27912.49584924104
-27912.99692920155,-27913.20199216601
-27913.20199216601,-27913.010419918268
-27913.20199216601,-27913.17059234849
-27913.17059234849,-27912.512629749785
-27913.17059234849,-27912.914310639386
-27913.17059234849,-27912.994825045284
-27913.17059234849,-27912.34581949598
-27913.17059234849,-27913.424721749147
-27913.424721749147,-27913.259951737404
-27913.424721749147,-27913.320613416443
-27913.320613416443,-27913.358755299654
-27913.358755299654,-27913.07723057393
-27913.358755299654,-27913.36454772516
-27913.36454772516,-27912.667945825167
-27913.36454772516,-27913.017031457905
-27913.36454772516,-27913.194008097675
-27913.36454772516,-27913.36570785219
-27913.36570785219,-27912.66864036177
-27913.36570785219,-27913.259699987964
-27913.36570785219,-27912.67592505578
-27913.36570785219,-27912.7494361041
-27913.36570785219,-27913.133660843396
-27913.36570785219,-27912.530505326664
-27913.36570785219,-27913.217250363843
-27913.36570785219,-27913.627777038175
-27913.627777038175,-27912.913827945933
-27913.627777038175,-27913.202695551474
-27913.627777038175,-27912.767328829952
-27913.627777038175,-27913.40938204527
-27913.627777038175,-27913.424771611557
-27913.627777038175,-27913.679226755583
-27913.679226755583,-27913.546510975317
-27913.679226755583,-27913.563706252397
-27913.563706252397,-27913.245557184004
-27913.563706252397,-27913.137986304566
-27913.563706252397,-27913.57280411893
-27913.57280411893,-27913.336508829634
-27913.57280411893,-27913.291528276633
-27913.57280411893,-27913.609837827764
-27913.609837827764,-27913.26311761059
-27913.609837827764,-27913.447028355342
-27913.447028355342,-27913.122572208722
-27913.447028355342,-27913.14416806437
-27913.447028355342,-27912.752753141012
-27913.447028355342,-27912.832066309886
-27913.447028355342,-27912.94690799952
-27912.94690799952,-27912.64023137062
-27912.94690799952,-27912.800013927386
-27912.94690799952,-27912.815622436756
-27912.94690799952,-27912.984813071183
-27912.984813071183,-27912.625288076877
-27912.984813071183,-27912.450536793895
-27912.984813071183,-27912.84095306659
-27912.984813071183,-27912.80571829035
-27912.984813071183,-27912.486395339725
-27912.984813071183,-27912.72434486424
-27912.984813071183,-27912.927360181355
-27912.927360181355,-27913.082803745627
-27913.082803745627,-27913.149272606723
-27913.149272606723,-27913.20005227186
-27913.20005227186,-27912.93689351133
-27913.20005227186,-27912.79571696768
-27913.20005227186,-27913.273278098903
-27913.273278098903,-27912.722442306927
-27913.273278098903,-27912.97747178972
-27913.273278098903,-27912.85721523118
-27913.273278098903,-27913.14934020588
-27913.273278098903,-27912.87600251906
-27913.273278098903,-27913.174041728256
-27913.174041728256,-27912.72339691463
-27913.174041728256,-27913.109578538468
-27913.109578538468,-27912.810180452252
-27913.109578538468,-27912.734895052316
-27913.109578538468,-27912.78731969845
-27913.109578538468,-27912.82429430076
-27913.109578538468,-27913.060707925964
-27913.060707925964,-27912.89998604886
-27913.060707925964,-27912.446357106164
-27913.060707925964,-27912.726388843912
-27913.060707925964,-27912.72945486661
-27913.060707925964,-27912.62129499099
-27913.060707925964,-27912.33658375543
-27913.060707925964,-27913.116084684494
-27913.116084684494,-27912.924267687824
-27913.116084684494,-27912.86276283538
-27913.116084684494,-27912.552063813135
-27913.116084684494,-27912.817367811018
-27913.116084684494,-27912.485402800437
-27913.116084684494,-27912.918194389815
-27913.116084684494,-27913.21956048744
-27913.21956048744,-27913.11650150645
-27913.21956048744,-27913.13140213503
-27913.13140213503,-27912.929695859508
-27913.13140213503,-27912.923160843937
-27913.13140213503,-27912.700026360166
-27913.13140213503,-27913.115784867186
-27913.13140213503,-27912.828839113725
-27913.13140213503,-27912.981305802427
-27913.13140213503,-27913.508869663983
-27913.508869663983,-27913.376970166515
-27913.376970166515,-27913.060324181526
-27913.376970166515,-27913.09898027399
-27913.376970166515,-27913.327818757727
-27913.376970166515,-27913.117805538808
-27913.376970166515,-27912.90208724434
-27913.376970166515,-27912.819569687956
-27913.376970166515,-27913.339135835224
-27913.339135835224,-27913.43318333825
-27913.43318333825,-27913.170941027198
-27913.43318333825,-27912.982471028423
-27913.43318333825,-27913.42710669201
-27913.43318333825,-27912.783485158263
-27913.43318333825,-27912.886163447634
-27913.43318333825,-27913.298660768054
-27913.43318333825,-27913.160590851316
-27913.43318333825,-27913.06530008688
-27913.43318333825,-27912.858345697197
-27913.43318333825,-27913.33809786944
-27913.43318333825,-27913.635900038564
-27913.635900038564,-27913.32149547501
-27913.635900038564,-27913.32867165841
-27913.635900038564,-27913.087824490965
-27913.635900038564,-27913.397312742713
-27913.635900038564,-27913.868408643026
-27913.868408643026,-27913.63112830797
-27913.868408643026,-27913.728199947178
-27913.868408643026,-27913.76676019648
-27913.868408643026,-27913.615352548597
-27913.615352548597,-27913.52154563981
-27913.52154563981,-27913.28875712514
-27913.52154563981,-27913.698028955725
-27913.698028955725,-27913.399269001806
-27913.698028955725,-27913.69741615387
-27913.69741615387,-27913.659973410522
-27913.659973410522,-27913.362897855888
-27913.659973410522,-27913.356315848032
-27913.659973410522,-27913.719209643536
-27913.719209643536,-27913.55592982034
-27913.719209643536,-27913.60666736184
-27913.60666736184,-27913.35660203815
-27913.60666736184,-27913.461223852406
-27913.60666736184,-27913.28773264418
-27913.60666736184,-27913.179595621186
-27913.60666736184,-27913.186409452705
-27913.60666736184,-27913.394332118478
-27913.60666736184,-27913.06966594074
-27913.60666736184,-27913.40401975606
-27913.60666736184,-27913.31197487662
-27913.60666736184,-27913.572347999525
-27913.572347999525,-27913.430649162874
-27913.572347999525,-27913.523411661437
-27913.523411661437,-27913.22236430376
-27913.523411661437,-27913.179282300658
-27913.523411661437,-27913.317905248805
